data.stations.capacity,data.stations.eightd_has_key_dispenser,data.stations.electric_bike_surcharge_waiver,data.stations.external_id,data.stations.has_kiosk,data.stations.is_charging,data.stations.lat,data.stations.lon,data.stations.name,data.stations.rental_methods,data.stations.short_name,data.stations.station_id,last_updated,ttl
23,false,false,"0b1091b6-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49367956421703,-73.57914626598358,"St-Mathieu / Ste-Catherine","CREDITCARD, KEY","6107","96",,
19,false,false,"0b1093c6-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52836601591233,-73.55117082595825,"Logan / Fullum","CREDITCARD, KEY","6108","97",,
23,false,false,"0b1094fe-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50265866521738,-73.52753520011902,"Parc Plage","CREDITCARD, KEY","6109","98",,
19,false,false,"0b10961a-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52900206660643,-73.54619935154915,"Poupart / Ste-Catherine","CREDITCARD, KEY","6110","99",,
31,false,false,"0b10972e-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52600589494234,-73.54886412620544,"Parthenais / Ste-Catherine","CREDITCARD, KEY","6111","100",,
19,false,false,"0b10983d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.519139183741046,-73.55786561965942,"Montcalm / de Maisonneuve","CREDITCARD, KEY","6112","101",,
19,false,false,"0b10994d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52123044585842,-73.55386108160019,"Alexandre-DeSève / Ste-Catherine","CREDITCARD, KEY","6113","102",,
25,false,false,"0b109fc4-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52353,-73.55199,"Métro Papineau (Cartier / Ste-Catherine)","CREDITCARD, KEY","6114","103",,
19,false,false,"0b10a104-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.48999801978288,-73.58942717313766,"Sherbrooke / Vignal","CREDITCARD, KEY","6115","104",,
15,false,false,"0b10c307-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52349210923463,-73.56073021888733,"Plessis / Ontario","CREDITCARD, KEY","6116","105",,
13,false,false,"0b10c45c-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50538591756765,-73.5704317688942,"de Maisonneuve / Aylmer (est)","CREDITCARD, KEY","6117","106",,
19,false,false,"0b10c672-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52510954917077,-73.56020584702492,"de Champlain / Ontario","CREDITCARD, KEY","6118","107",,
39,false,false,"0b10c7b5-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.526991277453526,-73.55821162462234,"Dorion / Ontario","CREDITCARD, KEY","6119","108",,
23,false,false,"0b10ce21-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.533705987798946,-73.55217933654784,"Métro Frontenac (Ontario / du Havre)","CREDITCARD, KEY","6120","109",,
27,false,false,"0b10cf42-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53456256501449,-73.55478646466509,"du Havre / de Rouen","CREDITCARD, KEY","6121","110",,
11,false,false,"0b10d04a-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52940536215913,-73.55591325094791,"Parthenais / Ontario","CREDITCARD, KEY","6122","111",,
11,false,false,"0b10d150-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52176753809887,-73.55710253119469,"Plessis / Logan","CREDITCARD, KEY","6123","112",,
27,false,false,"0b10d266-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53193889278052,-73.55343863368034,"Poupart / Ontario","CREDITCARD, KEY","6124","113",,
27,false,false,"0b10d370-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.499757,-73.629298,"Ellendale / de la Côte-des-Neiges","CREDITCARD, KEY","6125","114",,
